,GMM,KM
2,0.00017929914032173135,0.13256512206381538
4,0.08657132277822358,0.10184456025908187
6,0.09464555246379688,0.12910397595305848
8,0.11409091559804661,0.11208591719688785
10,0.04064705783033604,0.09430804191310924
12,0.039860910460639096,0.0927890049098542
14,0.0542588440627462,0.06762230478741135
16,0.07494773409802703,0.08591715390627425
18,0.07445154273575717,0.09152548543347354
20,0.06118911745216177,0.08580572860117583
25,0.06893534577785788,0.08538254628184526
30,0.06968953415192818,0.07581728014046214
